,PV(kW),Load(kW)
0,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.8  21.3  31.1  27.   39.2  57.2  61.1 119.  127.4
 251.5 300.5 276.3 306.2 403.9 587.  584.8 466.7 593.9 579.4 320.3 723.3
 749.2 800.7 692.9 754.9 679.  721.5 678.2 702.2 394.9 750.9 682.3 435.6
 569.2 421.  745.5 539.2 606.7 697.8 656.3 701.3 667.8 681.3 683.6 683.1
 433.9 332.5 593.9 545.8 532.7 506.2 327.5 277.1 160.3  97.  115.3 154.3
 287.2 232.7  92.   74.   61.3  33.1  34.2  13.5  22.2  24.9  21.3   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[111.2 135.6 145.9 102.7  88.4 132.5 137.3 120.  135.6  93.   87.7  94.6
 108.9 100.9 101.1  99.1  84.9 111.6  85.3 106.7 113.3  84.5 112.3  87.1
 155.4 179.6 189.2 210.6 270.  343.4 391.  380.  320.1 460.5 311.8 249.6
 299.3 382.  318.2 266.3 335.4 415.1 287.7 269.4 292.4 277.4 318.5 300.8
 308.5 360.8 245.2 245.8 249.8 237.4 288.6 261.6 285.9 303.2 338.7 377.9
 329.8 345.1 304.8 360.5 401.1 399.5 365.9 411.3 620.7 461.4 609.1 584.5
 511.5 641.4 585.  456.  449.7 586.3 654.1 466.1 605.3 553.  573.9 450.7
 729.9 661.3 604.3 566.5 584.2 682.7 424.6 431.  403.4 367.9 323.8 239.7]"
1,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   18.3  25.9  37.8  32.8  53.4  72.   77.  144.9 169.5
 322.  365.9 336.4 372.9 491.8 659.  712.  580.5 675.8 676.2 342.5 918.3
 912.2 974.9 843.7 808.8 826.7 832.7 834.6 978.3 480.9 887.  830.8 530.4
 693.1 512.6 821.6 656.5 738.8 849.6 799.1 854.  813.2 811.3 837.7 815.3
 528.4 404.8 723.1 646.5 623.4 585.3 398.8 313.2 192.  130.  140.3 187.9
 349.7 297.  112.   90.1  81.4  40.3  40.1  16.4  32.1  25.4  25.9   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[135.2 164.9 162.9 124.8 107.5 159.6 138.1 182.8 164.9 117.5 106.6 122.6
 153.4  93.5 137.8 120.5 113.9 121.2 103.7 142.2 137.7 130.4 136.6 122.1
 188.9 220.8 230.1 256.1 306.  417.5 475.3 504.8 542.  412.  324.1 423.4
 387.7 464.4 361.7 334.9 407.8 504.7 349.8 327.5 355.5 426.8 417.  365.7
 432.3 379.9 298.1 298.8 303.7 288.7 331.7 318.1 347.6 368.6 411.8 459.5
 503.2 419.6 386.5 438.3 487.6 579.8 444.9 500.  577.2 561.  700.6 710.6
 621.9 685.9 711.2 554.4 546.7 643.3 677.9 566.7 551.1 680.7 552.1 548.
 887.4 862.7 734.6 688.8 710.2 829.6 674.8 524.1 505.6 447.3 393.7 291.4]"
2,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.   23.6  36.6  30.6  48.7  63.5  70.2 124.  154.5
 279.2 333.7 306.8 326.  448.5 601.  649.3 518.3 659.4 643.4 355.7 837.5
 831.9 889.1 779.6 737.6 754.  759.4 753.2 779.7 438.5 833.8 765.6 517.7
 717.5 422.2 749.3 598.7 700.6 724.8 735.6 746.  758.8 739.9 759.1 758.5
 481.9 369.2 659.4 589.6 568.6 576.8 392.7 285.6 175.1 128.8 128.  171.3
 338.2 258.4 103.8  82.1  74.2  36.8  36.5  15.   29.3  23.1  23.6   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[126.5 150.2 148.4 133.6 125.3 146.8 125.8 132.9 150.2 103.  106.1 111.7
 120.6 111.8 139.2 102.3 103.1 123.7  94.5 129.6 125.5 118.8 123.3 111.3
 172.1 201.2 209.6 209.1 299.1 380.4 433.2 430.  354.7 510.2 295.4 385.8
 331.6 469.  352.5 305.2 338.7 459.9 325.1 329.9 366.1 307.3 380.  333.2
 401.9 346.2 271.6 272.3 291.4 252.6 319.8 291.  296.  263.5 375.2 418.7
 458.6 382.3 337.7 348.7 363.2 528.4 534.7 455.6 687.6 511.2 674.9 647.5
 713.1 625.1 648.1 564.4 498.2 586.2 724.7 516.4 502.2 620.3 523.4 501.6
 728.5 732.7 669.5 627.7 647.2 756.3 470.4 477.6 446.9 407.6 375.7 265.5]"
3,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   19.2  18.3  33.4  27.3  53.6  59.8  61.8 120.4 140.8
 254.4 266.6 279.5 297.  391.9 547.5 600.5 482.3 600.7 561.8 284.6 731.7
 757.9 752.2 700.9 672.  686.8 729.8 693.4 710.3 375.5 736.9 690.3 440.6
 575.8 384.6 754.1 545.4 613.8 705.9 733.8 713.6 675.6 674.  695.9 677.3
 433.4 331.4 564.5 537.1 538.9 512.1 357.7 260.2 162.2 108.  116.6 156.1
 255.5 235.4 113.2  73.2  62.   32.9  33.3  19.8  22.4  38.7  21.5   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.4 155.8 136.6 123.  115.3 133.9 115.8 122.3 104.5  98.5 108.1 102.8
 130.1  78.4 105.3  94.2 103.8 113.8  87.  119.2 129.6 109.4 114.6 102.4
 168.8 183.2 174.8 192.4 275.3 388.1 398.6 423.4 454.6 472.7 271.8 355.1
 312.7 389.5 303.3 271.5 342.  365.3 299.2 303.6 298.1 357.9 349.7 306.7
 314.6 367.9 329.4 244.5 242.2 242.1 294.3 270.9 272.5 242.5 363.  385.3
 422.  351.9 310.8 367.6 408.9 407.4 483.8 419.3 632.8 587.4 587.5 473.1
 521.5 575.3 615.2 519.4 458.5 539.5 666.9 475.3 462.2 581.5 585.1 459.6
 744.2 674.3 616.1 744.5 595.6 696.  565.9 439.5 411.3 375.2 330.1 257.9]"
4,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    7.8   9.4  27.4  14.1  32.5  41.   33.5  62.1  72.6
 131.3 137.6 156.9 153.2 202.2 282.5 309.9 248.9 289.7 302.5 167.2 387.2
 391.1 384.9 392.1 346.8 354.4 376.6 361.3 410.9 193.8 392.  343.8 227.4
 297.1 198.5 389.2 281.5 322.4 364.2 345.8 350.7 356.7 355.7 359.1 356.6
 226.5 171.  310.  277.1 267.3 264.2 188.9 144.7  83.7  55.7  60.5  82.
 149.9 127.3  48.8  37.8  33.1  17.3  17.9   7.   37.2  13.   11.1   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 60.4  80.9  77.2  63.8  59.8  70.1  60.1  79.6  75.5  51.9  46.4  53.4
  57.6  53.4  54.7  53.2  44.9  69.3  45.2  61.9  59.9  56.8  59.5  46.1
  82.2  96.1 100.1  99.9 142.9 181.7 206.9 219.7 235.9 179.3 165.  132.1
 162.3 202.1 168.4 140.9 161.8 189.6 152.2 142.5 154.7 185.7 168.5 168.3
 188.2 190.9 161.8 130.1 125.7 125.6 144.4 138.4 141.4 125.9 178.4 209.4
 174.5 184.2 176.3 166.5 212.2 218.4 193.6 242.3 328.4 244.2 304.9 309.3
 270.7 304.5 319.3 269.6 239.1 280.  295.1 246.7 320.3 296.3 303.7 238.5
 348.  375.5 319.8 299.8 332.  361.1 294.2 228.1 213.5 227.6 180.4 164.4]"
5,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   15.6  22.1  34.3  28.7  64.7  61.5  63.6 116.2 144.8
 275.1 312.6 308.4 318.5 402.9 563.  615.7 495.9 579.4 602.7 333.2 784.5
 790.1 839.2 730.3 690.9 785.5 711.3 705.5 730.4 386.1 757.7 685.1 485.
 664.7 399.7 793.5 560.8 642.5 725.8 695.4 729.5 710.8 693.1 715.6 725.4
 451.4 340.7 617.7 552.2 568.  499.9 384.8 288.2 164.  111.1 120.5 163.5
 262.7 242.  114.8  75.2  65.9  34.4  34.2  14.   27.4  21.7  20.9   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[127.2 140.9 159.3 125.3 117.5 137.7 118.  166.9 106.5  96.6  91.1 104.8
 132.6 104.9 105.1 111.5  88.3 103.6  88.7 110.9 132.1 111.5 116.8 110.7
 135.3 186.7 178.2 199.3 261.6 395.6 412.1 431.5 463.3 478.6 324.  381.
 318.7 439.9 309.2 276.7 317.7 431.4 304.9 279.9 303.9 364.8 356.4 312.6
 377.  324.7 254.8 249.2 259.6 236.9 299.9 272.9 277.7 247.2 332.4 411.2
 430.2 316.  316.8 327.1 340.7 415.2 493.1 475.8 645.  598.7 636.2 607.4
 531.5 666.5 607.9 533.7 467.3 549.9 595.3 483.4 471.1 574.7 471.9 622.3
 758.5 737.4 628.  588.8 652.  729.6 576.8 448.  432.2 382.4 352.4 322.8]"
6,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.3  25.   31.4  29.6  46.1  56.3  61.1 106.3 138.3
 239.4 250.8 263.  291.5 384.5 515.2 556.6 461.6 530.3 551.6 304.9 717.9
 713.1 713.6 715.  718.6 649.2 686.8 665.6 683.9 375.9 693.4 649.5 443.8
 541.8 361.9 726.2 513.2 577.5 621.3 624.7 671.5 665.1 634.2 671.4 650.2
 415.6 319.4 565.3 519.6 507.1 457.5 336.6 263.8 150.1  92.3 112.6 149.6
 240.4 221.5  87.5  68.9  58.4  31.5  32.6  12.8  21.1  19.8  20.2   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[105.8 145.3 138.7 114.7 107.5 126.  130.6 114.1  97.4  91.9  83.4  98.8
 103.5  96.   98.2  95.6  89.1 124.6  81.1 101.5 120.9 104.9 121.4  95.5
 123.8 170.8 163.1 200.3 256.7 370.7 371.8 394.9 424.  322.3 296.5 237.3
 296.3 363.3 302.6 262.  319.  340.7 273.6 283.2 278.1 333.8 326.1 286.
 338.2 297.2 233.2 233.7 225.9 216.8 259.4 249.7 271.8 288.3 304.1 376.3
 313.6 328.2 302.3 342.8 311.8 379.9 348.  393.  590.2 547.9 582.2 555.8
 486.4 547.2 573.7 484.5 477.8 557.6 622.  443.3 446.5 532.4 431.8 569.5
 625.3 674.8 586.3 538.7 596.6 649.2 403.8 428.3 395.5 408.9 307.9 295.4]"
7,"[   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.    15.1   29.7   43.4   37.6   54.8
   79.9   85.4  166.2  178.1  351.2  419.8  386.   427.8  564.2  820.1
  816.9  652.   829.6  809.4  447.5 1010.4 1046.6 1118.5  967.9 1054.5
  948.5 1007.8  947.5  980.8  551.6 1049.   953.2  608.4  795.1  588.1
 1041.4  753.2  847.6  974.8  916.8  979.7  933.   951.7  954.9  954.2
  606.3  464.4  829.6  762.6  744.2  707.1  457.5  387.1  223.9  135.5
  161.   215.5  401.2  325.   128.5  103.4   85.6   46.3   47.9   18.9
   31.    34.9   29.7    0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0. ]","[ 155.5  189.6  204.   143.5  123.5  185.3  192.   167.7  189.6  130.
  122.5  132.3  152.2  141.1  141.4  138.5  118.8  156.   119.3  149.3
  158.3  118.2  157.   121.6  217.2  251.   264.4  294.4  377.4  479.9
  546.6  531.2  447.5  643.7  435.7  348.9  418.5  534.1  444.8  372.3
  468.8  580.3  402.2  376.6  408.7  387.8  445.2  420.3  431.3  504.4
  342.7  343.6  349.2  331.9  403.5  365.6  399.6  423.8  473.5  528.3
  461.1  482.4  426.1  504.   560.7  558.5  511.5  574.9  867.6  645.
  851.5  817.1  715.   896.5  817.8  637.4  628.6  819.5  914.4  651.5
  846.1  773.   802.2  630.1 1020.2  924.4  844.7  791.9  816.6  954.2
  593.5  602.6  563.9  514.3  452.6  335. ]"
8,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.8  15.2  22.2  19.2  31.3  42.2  45.1  84.9  99.3
 188.7 214.4 197.1 218.5 288.1 386.1 417.2 340.1 396.  396.2 200.7 538.1
 534.5 571.3 494.3 473.9 484.4 487.9 489.  573.2 281.7 519.7 486.8 310.7
 406.1 300.4 481.4 384.7 432.9 497.8 468.2 500.4 476.5 475.4 490.9 477.7
 309.6 237.2 423.7 378.8 365.3 342.9 233.6 183.5 112.5  76.2  82.3 110.1
 204.9 174.   65.6  52.8  47.6  23.6  23.5   9.6  18.8  14.9  15.2   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 79.9  97.4  96.2  73.7  63.4  94.3  81.6 108.   97.4  69.4  62.9  72.4
  90.7  55.2  81.4  71.1  67.3  71.6  61.3  84.   81.3  77.   80.7  72.1
 111.6 130.4 135.8 151.2 180.7 246.5 280.8 298.2 320.1 243.4 191.5 250.1
 229.  274.4 213.6 197.8 240.9 298.1 206.6 193.5 209.9 252.1 246.3 215.9
 255.3 224.4 176.1 176.5 179.4 170.5 195.9 187.8 205.3 217.7 243.2 271.4
 297.2 247.8 228.3 258.9 288.  342.5 262.7 295.4 340.9 331.4 413.7 419.7
 367.3 405.2 420.1 327.4 322.9 380.  400.4 334.7 325.5 402.1 326.  323.7
 524.1 509.5 433.9 406.8 419.5 490.  398.6 309.6 298.6 264.2 232.5 172.1]"
9,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    8.9  17.5  27.1  22.6  36.   46.9  51.9  91.7 114.2
 206.4 246.8 226.9 241.  331.6 444.4 480.2 383.2 487.6 475.7 263.  619.2
 615.1 657.4 576.4 545.4 557.5 561.5 556.9 576.5 324.2 616.6 566.2 382.8
 530.6 312.2 554.  442.7 518.  535.9 543.9 551.6 561.1 547.1 561.3 560.8
 356.3 273.  487.6 435.9 420.4 426.5 290.3 211.2 129.5  95.3  94.7 126.7
 250.1 191.   76.8  60.8  54.8  27.2  27.   11.1  21.6  17.1  17.5   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 93.1 110.6 109.2  98.3  92.2 108.   92.6  97.8 110.6  75.8  78.1  82.2
  88.7  82.3 102.4  75.3  75.9  91.   69.6  95.4  92.3  87.4  90.7  81.9
 126.7 148.  154.2 153.8 220.1 279.9 318.8 316.4 261.  375.4 217.3 283.9
 244.  345.  259.4 224.6 249.2 338.4 239.2 242.8 269.4 226.2 279.6 245.1
 295.7 254.7 199.9 200.4 214.4 185.9 235.3 214.1 217.8 193.9 276.1 308.1
 337.4 281.3 248.5 256.6 267.3 388.8 393.5 335.3 506.  376.2 496.6 476.5
 524.7 460.  476.9 415.3 366.6 431.3 533.2 380.  369.5 456.4 385.2 369.1
 536.1 539.1 492.6 461.8 476.2 556.5 346.1 351.4 328.8 300.  276.4 195.4]"
