,PV(kW),Load(kW)
0,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   11.6  22.8  33.3  28.9  42.1  61.4  65.6 127.7 136.7
 269.8 322.4 296.4 328.5 433.3 629.8 627.3 500.7 637.1 621.6 343.7 776.
 803.7 859.  743.3 809.9 728.4 774.  727.6 753.3 423.7 805.6 732.  467.3
 610.7 451.6 799.8 578.5 650.9 748.6 704.1 752.4 716.5 730.9 733.3 732.8
 465.5 356.7 637.1 585.6 571.5 543.  351.3 297.3 172.  104.  123.6 165.5
 308.1 249.6  98.7  79.4  65.8  35.5  36.7  14.5  23.8  26.7  22.8   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[109.5 133.5 143.7 101.1  87.  130.5 135.2 118.2 133.5  91.6  86.3  93.2
 107.2  99.4  99.6  97.6  83.6 109.9  84.  105.1 111.5  83.2 110.6  85.7
 153.  176.9 186.3 207.4 265.8 338.1 385.  374.1 315.2 453.5 307.  245.8
 294.7 376.2 313.3 262.2 330.3 408.8 283.3 265.2 287.9 273.2 313.6 296.1
 303.8 355.3 241.4 242.  246.  233.8 284.2 257.6 281.5 298.6 333.5 372.1
 324.8 339.8 300.2 355.  394.9 393.4 360.3 405.  611.2 454.4 599.8 575.5
 503.7 631.5 576.  449.  442.8 577.3 644.1 459.  596.  544.5 565.1 443.8
 718.7 651.2 595.  557.9 575.2 672.2 418.1 424.4 397.2 362.3 318.8 236. ]"
1,"[   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.    19.2   27.2   39.8   34.5   56.1
   75.8   81.   152.5  178.2  338.7  384.9  353.9  392.2  517.3  693.2
  749.   610.6  710.9  711.3  360.3  965.9  959.5 1025.5  887.4  850.8
  869.6  875.9  877.9 1029.   505.8  933.   873.9  557.9  729.1  539.2
  864.3  690.6  777.1  893.7  840.6  898.3  855.4  853.4  881.1  857.6
  555.8  425.8  760.6  680.   655.8  615.6  419.4  329.4  201.9  136.8
  147.6  197.6  367.9  312.4  117.8   94.7   85.6   42.4   42.1   17.3
   33.8   26.7   27.2    0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0. ]","[133.5 162.8 160.8 123.2 106.1 157.6 136.3 180.5 162.8 116.  105.3 121.
 151.5  92.3 136.1 119.  112.5 119.7 102.4 140.4 136.  128.8 134.9 120.6
 186.5 218.  227.2 252.9 302.2 412.2 469.4 498.5 535.2 406.8 320.  418.1
 382.8 458.6 357.1 330.7 402.7 498.4 345.4 323.4 351.  421.4 411.7 361.
 426.9 375.1 294.3 295.1 299.9 285.  327.5 314.  343.2 364.  406.6 453.7
 496.9 414.3 381.6 432.8 481.5 572.5 439.3 493.7 570.  553.9 691.7 701.7
 614.  677.3 702.3 547.4 539.9 635.2 669.3 559.6 544.1 672.2 545.1 541.1
 876.2 851.8 725.4 680.1 701.3 819.1 666.3 517.5 499.2 441.7 388.7 287.7]"
2,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.6  24.6  38.2  32.   50.8  66.3  73.3 129.4 161.3
 291.4 348.3 320.2 340.2 468.1 627.3 677.7 540.9 688.3 671.6 371.2 874.1
 868.3 927.9 813.7 769.9 786.9 792.6 786.1 813.8 457.7 870.3 799.1 540.4
 748.9 440.6 782.  624.9 731.2 756.5 767.7 778.6 792.  772.2 792.2 791.6
 502.9 385.3 688.3 615.3 593.4 602.  409.9 298.1 182.7 134.4 133.6 178.8
 353.  269.6 108.4  85.7  77.4  38.4  38.1  15.6  30.6  24.2  24.6   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[124.8 148.1 146.4 131.8 123.5 144.8 124.1 131.1 148.1 101.6 104.6 110.2
 119.  110.3 137.2 100.9 101.7 122.   93.2 127.8 123.8 117.2 121.6 109.7
 169.8 198.4 206.7 206.2 295.  375.2 427.2 424.1 349.8 503.1 291.3 380.5
 327.  462.5 347.6 301.  334.1 453.6 320.6 325.4 361.  303.1 374.7 328.6
 396.3 341.4 267.9 268.6 287.4 249.1 315.3 286.9 291.9 259.9 370.  412.9
 452.2 377.1 333.1 343.9 358.2 521.1 527.3 449.3 678.1 504.1 665.5 638.6
 703.2 616.4 639.1 556.6 491.3 578.1 714.7 509.3 495.2 611.7 516.2 494.7
 718.5 722.6 660.2 619.  638.3 745.9 463.9 471.  440.8 402.  370.5 261.9]"
3,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   18.5  17.6  32.1  26.3  51.6  57.6  59.5 115.9 135.5
 244.9 256.6 269.1 285.9 377.2 527.1 578.1 464.3 578.3 540.8 273.9 704.4
 729.6 724.1 674.7 646.9 661.2 702.6 667.5 683.8 361.5 709.4 664.5 424.2
 554.3 370.3 726.  525.1 590.9 679.5 706.4 687.  650.4 648.9 670.  652.1
 417.2 319.  543.4 517.  518.8 493.  344.4 250.5 156.1 104.  112.2 150.3
 246.  226.6 109.   70.5  59.7  31.6  32.   19.1  21.6  37.2  20.7   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[111.7 153.5 134.5 121.1 113.5 131.9 114.1 120.5 102.9  97.1 106.5 101.3
 128.2  77.2 103.7  92.8 102.3 112.1  85.7 117.4 127.7 107.7 112.8 100.9
 166.3 180.4 172.2 189.5 271.1 382.3 392.7 417.  447.7 465.6 267.7 349.8
 308.  383.7 298.8 267.4 336.9 359.8 294.7 299.1 293.7 352.5 344.4 302.
 309.8 362.4 324.5 240.8 238.6 238.5 289.9 266.8 268.4 238.9 357.5 379.6
 415.7 346.6 306.1 362.  402.8 401.3 476.5 413.  623.3 578.6 578.7 466.
 513.7 566.6 605.9 511.6 451.6 531.4 656.9 468.1 455.2 572.8 576.3 452.7
 733.  664.2 606.9 733.3 586.7 685.6 557.4 432.9 405.2 369.5 325.2 254. ]"
4,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.1  12.2  35.4  18.2  42.   53.1  43.4  80.4  94.
 169.9 178.  203.1 198.3 261.7 365.7 401.1 322.1 375.  391.5 216.4 501.1
 506.2 498.2 507.5 448.8 458.8 487.5 467.6 531.8 250.8 507.4 445.  294.3
 384.6 256.9 503.7 364.3 417.3 471.5 447.6 453.9 461.7 460.3 464.8 461.5
 293.2 221.3 401.2 358.7 345.9 342.  244.5 187.2 108.3  72.1  78.3 106.2
 194.1 164.8  63.2  48.9  42.8  22.4  23.1   9.1  48.1  16.8  14.4   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 58.7  78.5  75.   62.   58.1  68.1  58.4  77.3  73.3  50.4  45.1  51.8
  56.   51.9  53.1  51.7  43.6  67.3  43.8  60.1  58.2  55.1  57.7  44.7
  79.8  93.3  97.2  97.  138.7 176.4 200.9 213.4 229.1 174.1 160.2 128.2
 157.6 196.3 163.5 136.8 157.1 184.1 147.8 138.4 150.3 180.4 163.7 163.5
 182.7 185.4 157.1 126.3 122.1 122.  140.2 134.4 137.3 122.2 173.2 203.3
 169.5 178.9 171.2 161.7 206.1 212.1 188.  235.3 318.9 237.1 296.1 300.3
 262.8 295.7 310.  261.8 232.1 271.9 286.5 239.5 311.  287.7 294.9 231.6
 337.9 364.6 310.5 291.1 322.4 350.6 285.7 221.5 207.3 221.  175.2 159.6]"
5,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   14.8  21.   32.6  27.2  61.4  58.4  60.3 110.2 137.3
 260.8 296.4 292.5 302.1 382.1 533.9 583.9 470.3 549.5 571.6 316.  743.9
 749.3 795.8 692.5 655.2 744.9 674.6 669.  692.6 366.2 718.5 649.7 459.9
 630.3 379.1 752.5 531.9 609.3 688.3 659.5 691.8 674.1 657.2 678.6 687.9
 428.  323.1 585.8 523.7 538.6 474.1 365.  273.3 155.5 105.3 114.3 155.
 249.1 229.5 108.9  71.4  62.5  32.7  32.5  13.3  26.   20.6  19.9   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[125.4 138.8 157.  123.5 115.8 135.7 116.3 164.4 104.9  95.2  89.8 103.2
 130.7 103.3 103.6 109.8  87.  102.1  87.4 109.3 130.2 109.8 115.  109.1
 133.3 183.9 175.6 196.4 257.7 389.8 406.1 425.2 456.5 471.5 319.2 375.4
 314.  433.4 304.6 272.7 313.1 425.1 300.4 275.8 299.4 359.4 351.2 307.9
 371.4 320.  251.1 245.5 255.8 233.4 295.5 268.9 273.6 243.5 327.5 405.1
 423.8 311.4 312.1 322.2 335.7 409.1 485.8 468.8 635.5 589.9 626.9 598.5
 523.7 656.7 599.  525.8 460.5 541.8 586.6 476.3 464.1 566.2 464.9 613.2
 747.3 726.5 618.7 580.1 642.4 718.8 568.3 441.4 425.8 376.7 347.2 318.1]"
6,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   11.3  27.5  34.5  32.5  50.7  61.9  67.2 116.9 152.1
 263.2 275.9 289.2 320.6 422.8 566.6 612.2 507.7 583.2 606.6 335.3 789.5
 784.3 784.8 786.3 790.3 714.  755.3 732.  752.2 413.4 762.6 714.3 488.1
 595.9 398.  798.6 564.5 635.2 683.3 687.  738.5 731.4 697.5 738.4 715.1
 457.1 351.3 621.7 571.4 557.7 503.2 370.2 290.1 165.  101.5 123.9 164.5
 264.4 243.6  96.3  75.7  64.2  34.7  35.8  14.1  23.2  21.8  22.2   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[104.1 143.  136.5 112.8 105.8 124.  128.5 112.3  95.9  90.4  82.   97.2
 101.9  94.4  96.6  94.1  87.7 122.6  79.8  99.9 118.9 103.2 119.4  94.
 121.8 168.1 160.4 197.1 252.6 364.8 365.8 388.5 417.1 317.1 291.7 233.5
 291.5 357.4 297.7 257.7 313.8 335.2 269.2 278.6 273.6 328.4 320.9 281.4
 332.7 292.4 229.4 230.  222.3 213.3 255.3 245.7 267.5 283.7 299.2 370.2
 308.6 322.9 297.4 337.3 306.8 373.8 342.3 386.7 580.7 539.  572.8 546.9
 478.6 538.4 564.5 476.7 470.1 548.6 612.  436.1 439.4 523.9 424.9 560.3
 615.3 663.9 576.8 530.1 587.  638.7 397.3 421.4 389.1 402.3 303.  290.6]"
7,"[   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.    16.    31.5   46.    39.9   58.
   84.6   90.4  176.1  188.6  372.   444.7  408.8  453.1  597.6  868.6
  865.3  690.6  878.7  857.3  474.  1070.2 1108.5 1184.8 1025.2 1116.9
 1004.7 1067.5 1003.6 1038.9  584.3 1111.1 1009.6  644.5  842.2  622.9
 1103.   797.8  897.8 1032.5  971.1 1037.7  988.2 1008.1 1011.4 1010.7
  642.2  491.9  878.7  807.7  788.3  748.9  484.6  410.   237.2  143.6
  170.6  228.3  425.   344.2  136.1  109.5   90.7   49.    50.7   20.
   32.8   37.    31.5    0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0. ]","[ 153.8  187.5  201.8  142.   122.2  183.3  189.9  165.9  187.5  128.6
  121.2  130.9  150.5  139.5  139.8  137.   117.5  154.3  118.   147.7
  156.6  116.9  155.3  120.3  214.9  248.3  261.6  291.2  373.3  474.7
  540.6  525.4  442.7  636.8  431.   345.2  413.9  528.3  440.   368.2
  463.8  574.   397.8  372.5  404.2  383.6  440.4  415.8  426.6  498.9
  339.   339.9  345.4  328.3  399.1  361.7  395.3  419.2  468.3  522.6
  456.1  477.1  421.5  498.5  554.6  552.5  505.9  568.7  858.2  638.
  842.2  808.2  707.2  886.8  808.9  630.5  621.8  810.6  904.5  644.5
  837.   764.6  793.5  623.2 1009.1  914.4  835.5  783.3  807.8  943.9
  587.1  596.   557.7  508.8  447.7  331.3]"
8,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.   17.   24.8  21.5  35.   47.2  50.5  94.9 111.
 211.  239.8 220.4 244.3 322.2 431.8 466.5 380.3 442.8 443.1 224.4 601.7
 597.7 638.8 552.8 530.  541.7 545.6 546.8 640.9 315.  581.2 544.4 347.5
 454.1 335.9 538.3 430.2 484.1 556.7 523.6 559.5 532.8 531.6 548.9 534.1
 346.2 265.2 473.8 423.6 408.5 383.5 261.3 205.2 125.8  85.2  92.  123.1
 229.2 194.6  73.4  59.   53.3  26.4  26.3  10.8  21.   16.6  17.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 78.2  95.3  94.2  72.2  62.1  92.3  79.8 105.7  95.3  68.   61.6  70.9
  88.7  54.   79.7  69.6  65.9  70.1  60.   82.2  79.6  75.4  79.   70.6
 109.2 127.6 133.  148.  176.9 241.3 274.9 291.9 313.4 238.2 187.4 244.8
 224.2 268.6 209.1 193.6 235.8 291.8 202.3 189.4 205.5 246.8 241.1 211.4
 250.  219.6 172.4 172.8 175.6 166.9 191.8 183.9 201.  213.1 238.1 265.7
 290.9 242.6 223.5 253.4 282.  335.2 257.2 289.1 333.7 324.4 405.  410.9
 359.6 396.6 411.2 320.5 316.1 371.9 391.9 327.6 318.7 393.6 319.2 316.8
 513.  498.8 424.8 398.2 410.7 479.6 390.2 303.  292.3 258.6 227.6 168.4]"
9,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    7.7  15.2  23.6  19.7  31.3  40.8  45.1  79.6  99.2
 179.3 214.4 197.1 209.4 288.  386.  417.1 332.9 423.6 413.3 228.5 537.9
 534.4 571.1 500.7 473.8 484.3 487.8 483.8 500.8 281.6 535.6 491.8 332.5
 460.9 271.2 481.3 384.6 450.  465.5 472.4 479.1 487.4 475.2 487.5 487.2
 309.5 237.1 423.6 378.7 365.2 370.5 252.2 183.4 112.5  82.7  82.2 110.1
 217.2 165.9  66.7  52.8  47.6  23.6  23.5   9.6  18.8  14.9  15.2   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[ 91.4 108.5 107.2  96.5  90.5 106.   90.9  96.  108.5  74.4  76.6  80.7
  87.1  80.7 100.5  73.9  74.5  89.3  68.3  93.6  90.6  85.8  89.1  80.3
 124.3 145.3 151.3 150.9 216.  274.7 312.8 310.5 256.1 368.4 213.3 278.6
 239.5 338.6 254.6 220.4 244.6 332.1 234.7 238.3 264.4 222.  274.4 240.6
 290.2 250.  196.2 196.7 210.4 182.4 230.9 210.1 213.8 190.3 271.  302.4
 331.1 276.1 243.9 251.8 262.3 381.5 386.2 329.1 496.6 369.2 487.3 467.6
 514.9 451.4 468.1 407.6 359.8 423.3 523.3 372.9 362.7 447.9 378.  362.3
 526.1 529.1 483.5 453.2 467.4 546.2 339.7 344.9 322.7 294.4 271.3 191.7]"
