,PV(kW),Load(kW)
0,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  24.8  32.5  28.7  41.2  69.7  61.6 125.5 142.5
 225.4 306.8 312.3 366.8 440.3 587.4 717.8 489.6 639.1 632.9 341.5 734.
 841.8 759.  706.1 776.8 660.3 780.5 738.1 759.  417.1 850.  856.6 514.3
 419.3 503.1 650.3 475.6 659.2 647.5 813.5 804.8 658.4 610.8 757.5 822.6
 470.  423.6 671.1 632.4 554.  563.5 343.3 241.2 214.5 102.5 125.  187.5
 311.5 255.  102.9  70.3  75.8  36.8  34.5  15.8  24.6  24.2  23.1   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[106.3 137.4 151.5 105.7  87.4 118.7 119.7 116.2 162.  101.8  74.8  76.9
 112.7  91.5  80.4  81.3  74.4 110.3  84.7 108.6  99.6  89.2 123.9  90.5
 136.1 204.3 177.7 221.9 277.2 355.2 379.8 351.  291.9 465.  337.7 240.7
 302.9 378.8 337.8 299.3 298.  333.2 274.1 232.4 240.4 290.2 367.8 286.4
 296.6 333.5 265.5 270.  222.9 219.3 288.5 296.5 263.1 299.9 330.4 373.9
 285.8 307.7 288.8 386.  412.9 403.2 316.9 434.3 611.5 462.4 610.5 697.3
 572.3 628.5 620.3 535.6 412.1 603.8 670.  558.5 656.3 668.7 603.8 462.1
 838.1 575.5 642.9 559.8 560.9 687.1 368.4 464.9 415.4 320.7 353.4 258. ]"
1,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.1  26.5  32.6  27.2  47.3  58.   60.9 120.4 117.7
 205.2 359.6 346.4 335.9 424.6 661.3 615.9 413.1 560.  648.  330.3 655.2
 688.  940.5 629.8 902.  763.7 696.5 704.4 765.2 439.  826.2 836.4 510.6
 579.5 443.9 727.  548.3 655.7 572.9 711.1 748.9 698.8 635.5 691.  676.8
 462.7 269.9 616.  613.3 520.9 491.7 377.1 375.9 182.5 110.8 124.2 178.2
 326.4 226.3 102.4  86.7  61.1  36.8  41.3  15.9  23.7  32.2  25.2   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[110.8 146.9 164.7 105.9  97.6 128.3 138.3 112.7 141.3  95.2  89.2  96.9
  82.5  94.8  99.6 100.2  80.1 116.3  96.1 113.5 114.7  83.   91.5  91.3
 133.7 212.3 180.6 179.5 286.6 376.8 364.5 402.4 348.2 494.7 278.3 184.8
 314.  305.6 397.8 294.3 277.5 438.3 291.7 288.  267.5 277.  373.4 315.4
 308.6 339.9 222.8 253.3 248.7 229.7 330.6 253.9 281.9 328.2 372.  377.9
 310.9 321.9 318.2 361.9 462.1 464.5 352.1 373.3 661.  403.3 664.  486.6
 486.4 702.2 473.5 531.  474.8 475.3 664.6 479.4 529.1 546.4 483.1 442.
 717.5 650.2 587.  619.7 609.9 634.7 359.4 429.3 361.8 421.6 303.1 236.4]"
2,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    8.7  24.2  33.9  32.8  48.   52.5  69.4 117.3 129.6
 290.3 336.7 309.4 325.5 441.  558.4 586.4 530.3 561.3 581.3 369.  771.7
 736.2 883.3 839.2 729.3 616.6 782.2 663.2 725.6 399.2 732.4 727.4 475.2
 542.2 495.  903.1 564.5 659.3 857.1 608.3 666.8 684.4 722.5 772.7 744.7
 375.1 391.6 709.3 524.5 597.5 503.6 333.4 274.2 197.4  94.  121.8 173.
 278.4 240.9  96.7  92.2  56.8  35.2  37.2  14.   26.9  26.5  21.7   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[123.5 151.5 144.8  89.6 100.9 125.5 142.4 120.5 134.9 100.8  86.5  93.1
 120.1  90.2  92.5 105.5  83.1 105.4  68.2 102.7 108.6  74.2 117.9  78.4
 141.8 160.9 194.1 216.1 248.3 330.1 377.4 263.6 293.  538.4 339.9 221.3
 311.7 383.4 299.3 248.1 330.3 312.1 289.5 212.2 269.7 249.8 299.8 296.9
 317.7 326.2 221.5 248.1 215.3 275.  294.8 262.8 245.2 318.  343.8 358.5
 317.  299.7 346.8 395.  419.9 325.6 348.9 393.4 594.5 400.6 610.  515.3
 477.6 648.1 634.7 511.8 340.5 568.5 563.4 413.  585.6 510.7 534.  383.2
 854.5 640.2 687.5 549.8 569.5 738.6 376.  483.8 393.8 362.9 297.4 176.2]"
3,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.8  21.6  28.4  23.7  41.3  57.8  64.7  93.4 136.4
 235.7 309.4 361.8 327.4 476.1 653.2 672.2 507.8 627.8 689.1 299.2 726.9
 844.  873.6 895.4 815.6 724.5 801.4 618.9 866.5 410.5 857.8 672.5 403.8
 606.2 441.4 843.  548.8 812.7 759.6 623.6 748.  815.9 742.  661.8 694.5
 501.  409.4 588.6 669.2 528.5 653.6 342.6 259.9 167.1 103.5 132.8 183.
 325.5 224.9  99.4  76.4  66.5  34.1  33.8  18.2  22.9  21.8  21.8   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[110.1 160.5 136.1  82.8  86.7 156.8 133.5 110.8 141.7 106.5  82.5  99.
  97.7  95.8  97.5  83.   94.3 104.6  94.2 109.2 106.7  82.3 111.6  91.6
 166.7 173.1 187.  189.6 266.1 338.2 379.1 339.8 359.9 474.7 271.1 252.2
 295.  389.4 283.2 292.9 334.6 388.1 218.7 250.8 281.7 247.1 297.8 327.4
 295.8 359.3 220.5 244.7 251.6 231.4 286.4 199.1 361.8 288.6 335.  321.1
 368.8 352.2 331.6 300.  372.  340.7 364.2 372.1 571.3 424.7 592.6 485.1
 448.4 645.6 584.3 425.8 478.3 628.6 611.3 472.2 614.2 570.1 610.5 432.7
 648.8 622.2 572.5 566.7 564.9 721.3 500.6 440.8 455.2 417.9 360.2 230.4]"
4,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.4  25.   31.9  29.7  38.8  66.5  67.5 124.2 142.
 221.4 290.  296.3 370.2 407.6 650.3 700.5 465.8 662.2 585.9 415.7 787.3
 870.  800.4 762.9 768.9 820.7 677.4 868.3 767.1 448.8 752.7 751.7 476.3
 610.2 469.4 690.  413.5 699.2 634.9 744.3 643.8 678.4 899.5 854.8 734.2
 440.7 390.6 495.9 672.6 537.6 496.  354.3 278.5 159.4 113.2 123.  152.6
 319.8 264.3 106.5  77.1  60.7  39.5  36.2  15.8  20.4  23.9  23.3   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[122.3 141.8 125.2  96.5  87.6 122.9 139.8 105.9 104.9  73.4  94.2  84.8
 107.8 102.1 102.1 105.6 102.  102.5  94.5 100.4 117.2  81.1  95.7  64.9
 188.7 167.4 184.3 231.1 290.9 373.  382.7 362.6 334.1 460.2 311.  237.6
 320.3 401.9 314.3 275.4 409.4 448.1 310.1 269.7 307.9 264.6 360.7 291.2
 335.3 354.9 230.6 249.4 242.8 213.5 311.6 249.3 260.2 275.4 338.6 368.3
 356.6 313.9 268.7 324.5 353.5 357.4 391.1 368.7 584.  491.7 597.7 518.5
 556.7 750.1 624.5 512.3 482.1 531.9 703.1 518.3 624.1 477.5 496.2 425.6
 824.9 606.9 570.5 509.8 608.5 693.7 467.  385.2 453.2 325.6 325.6 216.8]"
5,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    9.7  23.7  38.5  28.6  40.5  59.8  64.6 127.3 129.5
 258.5 302.  289.9 284.  425.9 669.  641.  444.8 704.7 724.  286.9 870.
 877.5 812.2 597.7 873.  816.  854.9 814.1 843.4 427.5 899.9 835.8 482.3
 546.6 545.6 802.9 506.4 722.6 858.9 745.2 793.6 812.3 660.7 743.9 689.9
 509.1 355.8 800.  616.8 521.7 469.7 418.9 352.2 179.3 103.9 134.6 160.1
 198.4 217.9  97.5  83.1  69.   38.7  32.9  13.6  22.9  28.8  19.1   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[104.2 125.2 133.1  95.6 111.2 128.4 148.3 137.1 136.3 103.3  88.9  86.9
 106.3  78.9  92.4 108.6  80.  110.4  93.2  95.8 115.3  80.1 124.4  96.7
 138.6 190.3 188.2 179.7 287.9 330.8 396.9 370.8 290.3 434.3 329.4 223.8
 306.7 365.7 300.6 249.1 317.3 485.6 263.7 260.8 243.9 267.  309.9 276.7
 280.4 297.4 243.3 276.5 247.3 259.4 282.3 231.7 300.3 235.5 331.1 444.3
 381.7 295.7 319.1 366.1 421.4 460.1 356.6 387.  596.7 389.  596.5 549.9
 562.2 560.1 465.8 508.4 447.9 508.  654.6 480.9 568.4 604.4 500.2 424.3
 688.2 616.  719.8 528.2 595.  782.4 451.1 398.4 370.9 447.7 345.1 256.2]"
6,"[   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.    10.5   19.8   33.8   26.2   35.1
   53.2   58.5  128.4  114.7  237.1  326.4  336.4  298.5  441.5  703.7
  648.8  571.9  686.6  560.4  397.6  817.4 1029.6  898.1  871.5  882.6
  736.8  758.3  762.   813.5  408.6  810.6  737.4  456.8  722.5  506.
  660.4  622.   657.6  830.6  677.   718.9  700.7  637.6  720.6  838.8
  512.4  402.7  624.5  542.4  473.7  553.7  422.4  340.6  189.   119.1
  132.8  169.7  334.3  218.6   85.6   71.5   54.3   36.8   37.5   14.8
   22.9   26.5   20.4    0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0. ]","[ 92.8 139.4 143.5  82.  105.4 148.8 128.7 101.5 130.4  93.6  90.4  96.
 107.5 122.2  96.2  88.3  83.6 135.9  93.8 103.7 130.7  89.8 107.1  93.9
 148.  146.4 202.1 230.6 244.4 328.  449.3 394.9 245.1 549.2 307.1 242.9
 279.4 399.6 246.7 279.5 320.4 428.5 285.4 241.4 291.3 264.  294.9 263.3
 275.7 317.8 231.7 230.1 230.8 233.6 284.3 248.6 294.2 372.2 292.6 456.
 346.8 332.2 297.1 369.1 351.5 438.6 322.6 418.5 534.1 481.4 622.3 598.3
 530.9 544.8 534.1 456.  434.7 588.8 700.7 413.6 528.1 540.6 500.3 483.2
 757.9 714.5 576.5 553.7 459.8 776.1 421.3 456.5 384.7 295.9 304.9 223.9]"
7,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   11.1  19.9  33.5  28.6  45.7  60.5  71.9 127.1 168.5
 266.1 345.3 264.6 335.9 535.  498.7 700.6 516.9 619.6 690.8 311.9 723.2
 790.4 964.2 669.1 828.7 727.2 777.2 807.  661.1 402.8 755.2 799.  551.3
 628.6 480.6 831.1 569.6 626.6 670.3 860.  747.9 713.7 751.2 709.5 697.5
 468.5 374.8 619.1 658.9 480.7 563.2 392.9 304.3 152.6 107.4 114.1 174.3
 349.6 293.8  92.   76.7  62.8  37.4  40.5  12.2  26.6  31.8  18.3   0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[102.4 117.4 130.3 113.3 102.8 131.8 155.5 105.5 146.1  90.3  98.8 102.
 113.9 107.7  88.9  90.4  75.1 105.5  82.  116.4 128.6  78.5 106.1  78.3
 157.  142.7 188.1 213.5 247.3 345.3 370.9 345.5 310.9 502.9 264.9 255.
 306.4 354.7 333.6 305.7 365.6 416.2 310.7 279.1 306.1 291.9 300.9 311.4
 307.3 371.4 228.3 247.8 190.6 284.  303.8 238.6 277.9 342.6 282.7 358.7
 375.2 274.6 356.1 373.2 369.2 391.9 382.  402.6 562.2 498.1 679.8 552.2
 558.1 550.8 576.1 487.3 507.6 609.3 639.7 532.8 684.5 623.9 662.2 490.8
 569.  690.8 515.3 567.8 648.3 640.7 359.9 477.3 352.1 359.1 308.8 224.9]"
8,"[   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.    11.3   21.4   34.6   30.3   43.2
   63.    72.9  123.5  112.3  267.2  346.8  258.1  323.3  471.2  589.9
  620.2  470.7  648.9  636.4  290.3  688.6  912.2 1001.3  749.4  880.9
  689.5  677.6  725.3  905.6  454.9  751.7  830.5  514.6  629.9  414.6
  723.7  597.6  583.6  793.8  612.9  680.7  856.4  716.2  653.5  719.9
  496.3  375.4  614.1  609.7  645.4  513.5  292.7  280.   155.    98.9
  133.3  113.   325.   293.8  118.3   85.9   57.    36.    37.    13.6
   19.3   28.1   24.8    0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0. ]","[110.2 118.5 145.   95.8  89.9 142.  114.  116.8 133.5  99.1  98.4  80.5
 101.4 105.3  93.5  76.2  79.7 115.9  90.3 112.2 112.2  75.3  99.7  89.7
 145.6 205.7 218.5 238.  267.1 363.6 406.2 352.7 370.  421.5 294.4 218.7
 306.9 457.8 328.7 273.  340.4 389.6 359.6 274.1 251.1 232.6 331.  324.
 323.3 337.1 218.3 291.4 245.1 266.3 268.3 263.4 306.7 292.9 358.9 385.4
 326.  302.4 268.8 351.6 414.  365.8 335.4 383.  636.3 458.4 682.  601.9
 562.6 713.7 647.6 465.4 433.8 717.6 622.4 419.4 484.2 629.2 542.7 366.2
 657.1 552.4 609.8 594.1 546.8 714.5 390.5 307.8 435.7 279.  343.4 238. ]"
9,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   12.4  22.4  35.   28.3  48.   69.5  54.6 115.1 135.9
 309.9 326.2 337.7 345.5 452.6 520.5 645.5 488.6 604.8 573.8 299.5 769.7
 905.5 850.4 693.3 781.3 654.1 744.6 765.4 784.1 447.  807.7 749.  419.2
 703.2 406.5 789.5 612.2 493.8 829.2 686.1 695.7 729.6 757.8 753.  839.6
 450.4 341.8 518.9 618.5 655.4 582.4 308.4 270.8 151.9 114.8 141.3 161.6
 291.1 241.3  84.9  83.2  64.9  42.5  34.9  14.8  27.1  27.3  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[104.8 130.  136.2 105.1  87.7 159.5 144.7 117.8 154.2  88.3  74.  107.
 116.   99.2  96.2 105.   94.8 113.6  98.9 100.1 111.2  77.  118.8  80.5
 131.4 172.5 205.2 203.7 331.7 390.  390.5 354.5 306.1 492.3 289.9 212.2
 303.3 403.1 350.6 280.3 306.2 386.8 292.5 294.2 287.9 255.5 285.9 318.9
 318.4 332.7 238.8 266.4 259.3 235.3 324.  242.1 311.8 314.8 305.8 374.8
 335.9 366.1 302.3 362.  380.3 408.1 384.3 382.8 651.8 443.7 673.7 663.2
 420.2 691.4 497.7 509.8 455.8 519.8 650.9 482.9 597.1 580.1 563.3 436.
 638.4 673.4 513.8 621.7 574.9 607.2 431.7 450.  433.4 341.6 292.8 199.3]"
